sentiment,text,user
"neutral","Intro of registered reports to prevent publication bias and cherry picking in the reporting of clinical trial data. https://t.co/r005TsRGzA","DrPaulGiles"
"neutral","RT @MarkCBove: That GOES-16 imagery of #Harvey? Radar imagery? Recon flight data? Your tax dollars did all that. Investing in &amp; funding #sc…","Veej_1"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","damienmulley"
"negative","What does Data Science mean to developing economy? https://t.co/7Ft143MlYV","redondoj"
"neutral","https://t.co/7Xe5c7fqRY","Ivarssonlab"
"positive","RT @kdnuggets: 5 Best #MachineLearning APIs for #DataScience #KDN https://t.co/7Zbfh1GtY4","Red_Shield_Sec"
"neutral","RT @AnonyMousey: A physics professor explains why male scientists devalue research that shows gender bias in the field. https://t.co/99M97Q…","wsscherk"
"neutral","Research showing women applying for biomedical science postdocs have to be 2.5 times more productive made me sad :( https://t.co/xl5VHKyUx5","frizzyroselle"
"neutral","Core #Data Science, #PhD University Grad at #Facebook (#LondonUnitedKingdom) #job https://t.co/r7EExzXmQb https://t.co/oHE0528e05","sentotadipati"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","BaxterTwi"
"positive","@RSocPublishing Hi! Quick q, does Royal Society Open Science accept mathematical modeling studies (no original exper. data) if biomed focus?","emckiernan13"
"neutral","RT @logtrustInc: Benefits-of-having-a-career-in-data-science https://t.co/2oJ0fncSe1 https://t.co/hWnivgFhmP","juancarlosvigol"
"positive","RT @derekhennen: I really, really encourage men to read this article. We need to combat gender bias, unconscious or not. https://t.co/MD8PG…","fredkitutu"
"positive","RT @astronomolly: \"...women had to be 2.5 times more productive than the men in order to be rated equally scientifically competent...\" http…","Noufjar"
"neutral","RT @defsophiaray: Folks in academia, if you haven't read this yet, you need to: https://t.co/liD87McA10\n🙏@o_guest https://t.co/4PumKltpjD","pitybiscuits"
